Key,English (en),Finnish (fi),Swedish (sv),Danish (da),German (de),Greek (el),Spanish (es),French (fr),Italian (it),Norwegian (no),Dutch (nl),Portuguese (pt),Russian (ru),Turkish (tr),Korean (ko),Japanese (ja),Chinese (Simplified) (zh-Hans),Chinese (Traditional) (zh-Hant)
info_section3_privacy_bar,Privacy policy,Tietosuojaseloste,Dataskydd,Fortrolighedspolitik,Datenschutzbestimmungen,Πολιτική Απορρήτου,Política de privacidad,Politique de confidentialité,Politica sulla riservatezza,Personvernpolicy,Privacybeleid,Política de privacidade,Политика конфиденциальности,Gizlilik politikası,개인 정보 정책,個人情報保護方針,隐私政策,隱私政策
info_section3_build,Version:,Versio:,Version:,Version:,Version:,Εκδοχή:,Versión:,Version:,Versione:,Versjon:,Versie:,Versão:,Версия:,Versiyon:,번역:,バージョン:,版:,版:
info_section3_credits_illustration,Illustration:,Kuvitus:,Illustration:,Illustration:,Illustration:,Εικονογράφηση:,Ilustración:,Illustration:,Illustrazione:,Illustrasjon:,Illustratie:,Ilustração:,Иллюстрации:,llüstrasyon:,일러스트레이션:,イラスト:,插画:,插畫:
info_section3_credits_development,Development:,Toteutus:,Utveckling:,Udvikling:,Entwicklung:,Ανάπτυξη:,Desarrollo:,Développement:,Sviluppo:,Utvikling:,Ontwikkeling:,Desenvolvimento:,Разработка:,Geliştirme:,개발:,作成:,开发:,技術開發:
info_section3_credits_sound,Sound:,Äänet:,Ljud:,Lyd:,Audio:,Ήχος:,Sonido:,Audio:,Suono:,Lyd:,Audio:,Som:,Звук:,Ses:,소리:,サウンド:,音乐:,音效:
info_section3_pintxo,About Pintxo:,Pintxo:,Om Pintxo:,Om Pintxo:,Über Pintxo:,Σχετικά με το Pintxo:,Acerca de Pintxo:,À propos de Pintxo:,A proposito di Pintxo:,Om Pintxo:,Over Pintxo:,Sobre a Pintxo:,О Pintxo:,Pintxo hakkında:,Pintxo 소개:,Pintxoについて:,关于 Pintxo:,關於 Pintxo:
info_section3_edu_question,Do you represent an educational institution?,Edustatko koulua tai muuta organisaatiota?,Representerar du en utbildningsinstitution?,Repræsenterer du en uddannelsesinstitution?,Vertreten Sie eine Bildungseinrichtung?,Εκπροσωπείτε κάποιο εκπαιδευτικό ίδρυμα;,¿Representas a una institución educativa?,Représentez-vous un établissement d'enseignement?,Rappresenti un istituto scolastico?,Representerer du en utdanningsinstitusjon?,Vertegenwoordig je een onderwijsinstelling?,Você representa uma instituição de ensino?,Вы являетесь представителем образовательного учреждения?,Bir eğitim kurumunu mu temsil ediyorsunuz?,교육 기관에서 일하시나요?,教育機関の方ですか？,您是否代表教育机构？,您是教育機構代表嗎？
info_section3_edu_callout,Get the educational edition,Lataa sovelluksen opetusversio,Skaffa utbildningsversionen,Få læringsudgaven,Holen Sie sich die Bildungsversion,Αποκτήστε την εκπαιδευτική έκδοση,Obtén la edición educativa,Obtenez l'édition éducative,Ottieni la versione didattica,Få utdanningsversjonen,Download dan de educatieve-editie,Obtenha a edição educacional,Получите учебную версию,Eğitim sürümünü edinin,교육용 에디션을 받으세요,教育機関版をご利用ください,获取教育版,取得教育版
info_section4_title,About Onni & Ilona,Onni & Ilona,Om Onni & Ilona,Om Onni & Ilona,Über Onni & Ilona,Onni & Ilona,Acerca de Onni & Ilona,À propos d'Onni & Ilona,Onni & Ilona,Om Onni & Ilona,Over Onni & Ilona,Sobre Onni & Ilona,Об Onni & Ilona,Onni & Ilona hakkında,Onni & Ilona 소개,Onni & Ilonaについて,关于 Onni & Ilona,關於 Onni & Ilona
info_section4_text,"Since 2007, Onni & Ilona has been delighting babies and young children with a range of toys, clothing and childrens books. Onni & Ilona visual stimulation cards embody minimal Finnish design at its core.","Vuodesta 2007 Onni & Ilona on ilahduttanut vauvoja ja taaperoita korteilla, kirjoilla, leluilla ja tekstiileillä. Onnin & Ilonan hauskat katselukortit vauvoille edustavat selkeää suomalaista designia.","Sedan 2007 har Onni & Ilona underhållt bebisar och barn med en rad olika leksaker, kläder och barnböcker. Onni & Ilona visuellt tilltalande kort utmärker kärnan av minimalistisk Finsk design.","Onni & Ilona har siden 2007 glædet spædbørn og små børn med et udvalg af legetøj, tøj og børnebøger. Onni & Ilona visuelle stimulanskort er et perfekt eksempel på minimalt finsk design.","Seit 2007 begeistert Onni & Ilona Babys und kleine Kinder mit verschiedenen Spielzeugen, Kleidung und Kinderbüchern. Onni & Ilona's Sehförderkarten verkörpern minimalistisches Finnisches Design.","Από το 2007, οι Onni & Ilona δίνουν χαρά σε μωρά και μικρά παιδιά με μια γκάμα παιχνιδιών, ρούχων και παιδικών βιβλίων. Οι κάρτες οπτικής διέγερσης Onni & Ilona ενσωματώνουν στον πυρήνα τους τον μινιμαλιστικό φινλανδικό σχεδιασμό.","Desde 2007 Onni & Ilona ha deleitado bebés y niños con un amplio rango de juguetes, ropa y libros para niños. Las cartas de estimulación visual de Onni & Ilona incorporan diseño minimalista finlandés.","Depuis 2007 Onni & Ilona ravit les bébés et les tout-petits avec une collection de jouets, de vêtements et de livres d'enfants. Les cartes de stimulation visuelle Onni & Ilona représente le design minimaliste finlandais.","Dal 2007 Onni & Ilona ha deliziato neonati e bambini con un'ampia gamma di giocattoli, abbigliamento e libri per l'infanzia. Le carte per la stimolazione visiva Onni & Ilona incarnano appieno il design minimalista finlandese.","Siden 2007 har Onni & Ilona gledet små barn med en rekke leker, klær og barnebøker. Onni & Ilonas visuelt stimulerende kort representerer kjernen av minimalt finsk design.","Sinds 2007 heeft Onni & Ilona baby's en jonge kinderen verblijd met een reeks speelgoed, kleding en kinderboeken. De visuele stimuleringskaarten van Onni & Ilona belichamen de kern van minimalistisch Fins ontwerp.","Desde 2007, a Onni & Ilona vem encantando bebês e crianças pequenas com uma gamade brinquedos, roupas e livros infantis. Oscartões de estimulação visual da Onni & Ilona representam a essência do design minimalista finlandês.","С 2007 года Onni & Ilona развлекает грудничков и маленьких детей различными игрушками, одеждой и детскими книгами. Карточки Onni & Ilona для визуальной стимуляции воплощают минималистический финский дизайн.","2007'den beri, Onni & Ilona, çeşitli oyuncak, kıyafet ve çocuk kitapları ile bebekleri ve küçük çocukları sevindiriyor. Onni & Ilona görsel uyarım kartları çekirdeğinde minimal Fin tasarımını barındırıyor.","2007년부터, Onni & Ilona는 다양한 장난감, 의복 및 어린이용 책을 통해 유 아와 어린이들을 즐겁게 해주고 있습니 다. Onni & Ilona 시각 자극 카드는 핵심부 디자인에 핀란드식 디자인을 접목 하였습니다.",2007年から、Onni & Ilonaは、幅広いおもちゃ、洋服、そして児童書で赤ちゃんや幼児たちを喜ばしてきました。Onni＆Ilonaの視覚刺激カードは、その中核に最小のフィンランド・デザインを採用しています。,自2007年起，Onni & Ilona一直在用各种玩偶、衣物和童书给宝宝和幼儿带去欢乐。Onni & Ilona 视觉刺激卡的核心展现了芬兰设计。,自2007年以來，Onni & Ilona一直努力為嬰兒和幼兒提供各種玩具、服裝和兒童書籍。Onni & Ilona視覺刺激卡片在其核心含有最小部份的芬蘭設計。
info_section4_bar,Learn more,Lue lisää,Läs mer,Læs mere,Weiterlesen,Μάθετε περισσότερα,Leer más,Lire la suite,Per saperne di più,Les mer,Lees verder,Leia mais,Подробнее,Devamını oku,더 알아보기,さらにくわしく,了解更多,了解更多
mode_bar,Select,Valitse,Välj,Vælg,Auswählen,Επιλογή,Aceptar,Sélectionnez,Seleziona,Velg,Kiezen,Aceitar,Выбрать,Seç,선택,選択,选择,選擇
mode_note,You can change this later in Settings.,Voit muuttaa moodia myöhemmin Asetukset-osiosta.,Du kan ändra detta senare i Inställningar.,Du kan ændre dette senere i Indstillinger.,Sie können das später in den Einstellungen ändern.,Μπορείτε να τον αλλάξετε αργότερα από τις Ρυθμίσεις.,Puedes cambiarlo después en Ajustes.,Vous pouvez modifier ce paramètre plus tard dans Réglages.,Può essere modificata in seguito in Impostazioni.,Du kan endre dette senere i Innstillinger.,Je kunt dit later wijzigen in Instellingen.,Pode mudá-lo mais tarde nos Ajustes.,Вы можете изменить это позже в Настройках.,Bunu daha sonra Ayarlar'dan değiştirebilirsiniz.,나중에 설정에서 변경하실 수도 있습니다.,これは後で設定で変更できます。,稍后您可以在“设置”中进行更改。,您可以稍後在設置中變更。
parentalgate_digit_1,one,yksi,ett,en,eins,ένα,uno,un,uno,en,een,um,один,bir,하나,いち,一,一
parentalgate_digit_2,two,kaksi,två,to,zwei,δύο,dos,deux,due,to,twee,dois,два,iki,둘,に,二,二
parentalgate_digit_3,three,kolme,tre,tre,drei,τρία,tres,trois,tre,tre,drie,três,три,üç,셋,さん,三,三
parentalgate_digit_4,four,neljä,fyra,fire,vier,τέσσερα,cuatro,quatre,quattro,fire,vier,quatro,четыре,dört,넷,よん,四,四
parentalgate_digit_5,five,viisi,fem,fem,fünf,πέντε,cinco,cinq,cinque,fem,vijf,cinco,пять,beş,다섯,ご,五,五
parentalgate_digit_6,six,kuusi,sex,seks,sechs,έξι,seis,six,sei,seks,zes,seis,шесть,altı,여섯,ろく,六,六
parentalgate_download,Open on the App Store,Avaa App Storessa,Öppna i App Store,Åben i App Store,Im App Store öffnen,Μεταφορά στο App Store,Ver en el App Store,Ouvrir dans l'App Store,Apri su App Store,Åpne i App Store,Openen in de App Store,Ver na App Store,Открыть в App Store,App Store'da Aç,앱 스토어 열기,App Store でアプリを入手して下さい,在 App Store 中打开,連結將於 App Store 中開啟
parentalgate_info,Open info,Avaa info,Öppna info,Åben info,Öffnen Info,Ανοίξτε τις πληροφορίες,Desplegar info,Ouvrir l'info,Aprire informazioni,Åpne info,Info openen,Informações aberto,Показать информацию,Bilgi,정보 열기,情報公開,打开资讯,開啟資訊專區
parentalgate_restore,Restore an earlier purchase,Palauta aiempi ostos,Återställ ett tidigare köp,Gendan et tidligere køb,Wiederherstellen eines Kaufs,Επαναφέρετε προηγούμενη αγορά,Restaurar una compra anterior,Restaurer un achat antérieur,Ripristina un acquisto precedente,Gjenopprett et tidligere kjøp,Herstel een eerdere aankoop,Restaurar uma compra anterior,Восстановить покупку,Eski bir satın alımı yenile,이전 구매 복원,以前の購入を復元する,恢复先前的购买,恢復之前的購買
parentalgate_upgrade,Purchase full version,Osta täysversio,Köp den fulla versionen,Køb den fulde version,Schalte die Vollversion frei,Αγοράστε την πλήρη έκδοση,Obtener la versión completa,Acheter la version complète,Ottieni la versione completa,Kjøp fullversjonen,Koop de volledige versie,Obtenha a versão completa,Купить полную версию,Tam sürümü satın al,전체 버전 구매,フルバージョンを購入,购买完整版,購買完整版
parentalgate_upsell,Purchase full version,Osta täysversio,Köp den fulla versionen,Køb den fulde version,Schalte die Vollversion frei,Αγοράστε την πλήρη έκδοση,Obtener la versión completa,Acheter la version complète,Ottieni la versione completa,Kjøp fullversjonen,Koop de volledige versie,Obtenha a versão completa,Купить полную версию,Tam sürümü satın al,전체 버전 구매,フルバージョンを購入,购买完整版,購買完整版
popup_upgrade_title,Get the full version!,Osta täysversio,Köp den fulla versionen!,Køb den fulde version!,Hol dir die Vollversion!,Αποκτήστε την πλήρη έκδοση!,¡Obtener la versión completa!,Acheter la version complète!,Ottieni la versione completa!,Kjøp fullversjonen!,Koop de volledige versie!,Obtenha a versão completa!,Получите полную версию!,Tam sürümü satın al!,풀버전을 받으세요!,フルバージョンを手に入れよう！,获得完全版！,取得完整版！
popup_upgrade_text,Gain access to all 12 characters,Ota käyttöön kaikki 12 hahmoa,Få tillgång till alla 12 figurerna,Få adgang til alle 12 karakterer,Erhalte Zugriff auf alle 12 Figuren,Απόκτησε πρόσβαση και στους 12 ήρωες,Obtén acceso a los 12 personajes,Obtenez l'accès aux 12 personnages,Ottieni l'accesso a tutti i 12 personaggi,Få tilgang til alle 12 karakterene,Krijg toegang tot alle 12 personages,Obtenha acesso a todos os 12 personagens,Получите доступ ко всем 12 персонажам,12 karakterin tümüne erişim kazanın,12가지 캐릭터를 모두 이용하세요,12のすべてのキャラクターにアクセスしましょう,获得12个人物的使用权限,取得使用全部 12 個角色的權限
popup_upgrade_bar,Buy for,Osta,Köp för,Køb for,Kaufe für,Αγοράστε την με,Compra por,Acheter pour,Compra per,Kjøp for,Koop voor,Compre por,Купить за,Şimdi satın al:,다음 가격에 구입:,購入する:,购买:,購買費用
popup_upgrade_restore,Restore an earlier purchase:,Palauta aiempi ostos:,Återställ ett tidigare köp:,Gendan et tidligere køb:,Wiederherstellen eines Kaufs:,Επαναφέρετε προηγούμενη αγορά:,Restaurar una compra anterior:,Restaurer un achat antérieur:,Ripristina un acquisto precedente:,Gjenopprett et tidligere kjøp:,Herstel een eerdere aankoop:,Restaurar uma compra anterior:,Восстановить покупку:,Eski bir satın alımı yenile:,이전 구매 복원:,以前の購入を復元する:,恢复先前的购买:,恢復之前的購買:
popup_upgrade_restore_bar,Restore,Palauta,Återställ,Gendan,Wiederherstellung,Επαναφορά,Restaurar,Restaurer,Ripristina,Gjenopprett,Herstel,Restaurar,Восстановить,Yenile,복원,復元,恢复,恢復
popup_upsell_title,Enjoying the app?,Viihtyykö vauva?,Njuter du av appen?,Nyd appen?,Gefällt Ihnen das App?,Σας αρέσει η εφαρμογή;,¿Te gusta esta app?,Vous aimez cette application?,Ti piace la nostra app?,Nyt app?,Bevalt de app?,Você gosta deste app?,Нравится приложение?,Uygulamayı sevdiniz mi?,앱을 잘 사용하고 계신가요?,アプリを楽しんでる?,喜欢这个应用程序？,喜歡本 App 嗎？
popup_upsell_text,Play with 9 more characters!,Hanki 9 hahmoa lisää!,Spela med 9 mer figurer!,Spil med 9 mere karakter!,Spiele mit 9 weiteren Figuren!,Παίξτε με άλλους 9 ήρωες!,¡Juega con 9 personajes más!,Jouez avec 9 autres personnages!,Gioca con 9 personaggi più!,Spill med 9 mer karakter!,Speel met nog 9 personages!,Jogar com 9 personagens mais!,Сыграйте с еще 9 персонажами!,9 karakter daha oyna!,9마리의 추가 캐릭터를 플레이하세요!,9種類以上のキャラクターを使ってプレイしよう！,再玩 9 个角色！,與其他額外 9 種角色遊戲！
popup_upsell_bar,Buy for,Osta,Köp för,Køb for,Kaufe für,Αγοράστε την με,Compra por,Acheter pour,Compra per,Kjøp for,Koop voor,Compre por,Купить за,Şimdi satın al:,다음 가격에 구입:,購入する:,购买:,購買費用
promo_animals_title,Happy Animals,Iloiset eläimet,Glada djur,Glade dyr,Fröhliche Tiere,Χαρωπά Ζωάκια,Animales felices,Animaux joyeux,Animali felici,Glade dyr,Vrolijke dieren,Animais felizes,Веселые животные,Mutlu Hayvanlar,행복한 동물들,ハッピーアニマル,快乐动物,快樂動物
promo_animals_subtitle,Visual stimulation for babies,Veikeää virikettä vauvalle,Visuell stimulering för babyn,Visuel stimulation til babyer,Baby sensorische Stimulation,Οπτική διέγερση για μωρά,Estimulación visual para bebés,Stimulation visuelle aux bébés,Stimolazione visiva neonati,Visuell stimulering for babyer,Visuele stimulatie voor baby,Estimulação visual para bebês,Визуальное развитие для деток,Bebekler için görsel uyarım,유아를 위한 시각적 자극,赤ちゃんの視覚を刺激します,给宝宝的视觉刺激,對嬰兒的視覺刺激
purchase_buy_disabled_title,Purchases disabled,Ostokset kielletty,Köp inaktiverat,Køb deaktiveret,Einkäufe deaktiviert,Οι αγορές είναι απενεργοποιημένες,Compras deshabilitadas,Les achats sont désactivés,Acquisti disabilitati,Kjøp deaktivert,Kopen uitgeschakeld,Compras desativadas,Покупки отключены,Satın alımlar devre dışı,구매 비활성화됨,購入できませんでした,购买被禁用,已停用購買功能
purchase_buy_disabled_text,For some reason your device has purchases disabled,Jostain syystä laitteellasi on ostokset kielletty,Av någon anledning har din enhets köpfunktion inaktiverats,Af en eller anden grund er køb slået fra på din enhed,Aus irgendeinem Grund sind Einkäufe auf deinem Gerät deaktiviert,"Για κάποιον λόγο, η συσκευή σας έχει απενεργοποιήσει τις αγορές",Por alguna razón tu dispositivo tiene las compras deshabilitadas,Pour une raison inconnue les achats sont désactivés sur votre appareil,Per qualche motivo gli acquisti sono disabilitati sul tuo dispositivo,Av en eller annen grunn har enheten din deaktivert kjøp,Om een of andere reden heeft je apparaat aankopen uitgeschakeld staan,Por algum motivo as compras estão desativadas em seu dispositivo,По какой-то причине покупки для вашего устройства отключены,Bazı nedenlerden dolayı cihazınızda satın alma işlemleri etkisiz kılınmış,모종의 사유로 인하여 귀하의 기기에서 구입이 비활성화되었습니다,何らかの理由で端末からの購入が無効になっています,因为一些原因，你的设备禁用了购买功能,出於某種原因，您的裝置已停用購買功能
purchase_buy_success_title,Thanks for your purchase!,Kiitokset ostoksestasi!,Tack för ditt köp!,Tak for dit køb!,Danke für deinen Einkauf!,Ευχαριστούμε για την αγορά σας!,¡Gracias por tu compra!,Merci pour votre achat!,Grazie per il tuo acquisto!,Takk for ditt kjøp!,Bedankt voor je aankoop!,Obrigado pela sua compra!,Спасибо за покупку!,Satın aldığınız için teşekkürler!,구입에 감사드립니다!,ご購入いただきありがとうございます!,谢谢你的购买！,感謝您的購買！
purchase_buy_success_text,You can now enjoy all 12 characters,Voit nyt leikkiä kaikilla 12 hahmolla,Du har nu tillgång till alla 12 figurerna,Du har nu adgang til alle 12 karakterer,Du kannst dich jetzt über alle 12 Figuren freuen,Μπορείτε τώρα να απολαύσετε και τα 12 ήρωες,Ahora puedes disfrutar todos los 12 personajes,Vous pouvez maintenant profiter des 12 personnages,Ora puoi goderti tutti e 12 gli personaggi,Du har nå tilgang til alle 12 karakterene,Je hebt nu toegang tot alle 12 personages,Agora você pode curtir todos os 12 personagens,Теперь вас снова могут радовать все 12 персонажей,Şimdi 12 karakterin tümünün tadını çıkarabilirsin,이제 12가지 캐릭터 모두를 이용하실 수 있습니다,12のすべてのキャラクターを楽しむことができます,现在你可以玩全部12个人物,你現在擁有全部 12 個角色了
purchase_restore_fail_title,Restore failed,Palautus epäonnistui,Återställning misslyckades,Gendan mislykkedes,Die Wiederherstellung ist fehlgeschlagen,Η επαναφορά απέτυχε,No se pudo restaurar,La restauration a échoué,Ripristino fallito,Gjenopprettingen mislyktes,Herstellen mislukt,Restauração falhou,Ошибка восстановления,Yenileme başarısız oldu,복원 실패,復元に失敗しました,恢复失败,恢復失敗
purchase_restore_fail_text,Something went wrong - make sure you made a purchase earlier,Jotain meni vikaan - varmistathan että ostos tehtiin,Något gick fel - se till att ditt köp gick igenom tidigare,"Noget gik galt - vær sikker på, at du foretog et køb før","Etwas ist schief gegangen - bitte stelle sicher, dass du vorher den Einkauf getätigt hast",Κάτι πήγε στραβά - βεβαιωθείτε ότι κάνατε μια αγορά προηγουμένως,Algo salió mal - asegúrate de haber hecho una compra antes,Quelque chose c'est mal passé - assurez-vous d'avoir fait votre achat,Qualcosa è andato storto: assicurati di aver effettuato un acquisto in precedenza,Noe gikk galt - se til at du har gjort et kjøp tidligere,"Er ging iets fout, zorg dat je zeker weet dat je een aankoop gedaan hebt",Algo deu errado – certifique-se de já ter realizado uma compra anteriormente,"Что-то пошло не так – убедитесь, что вы совершили покупку ранее",Bir şeyler yanlış gitti - daha önce bir satın alma yaptığınızdan emin olun,뭔가 잘못되었습니다 - 이전에 구입을 하셨는지 확인해 주세요,間違いがあります- 以前の購入を確認してください,出现错误——请确保你之前购买过,發生錯誤——請確定您之前已購買此項目
purchase_restore_success_title,Restore successful,Palautus onnistui,Återställning lyckades,Gendannelse var vellykket,Die Wiederherstellung war erfolgreich,Επιτυχής επαναφορά,Restauración exitosa,La restauration a réussi,Il ripristino ha avuto successo,Gjenoppretting var vellykket,Herstel was succesvol,Restauração foi bem sucedida,Восстановление выполнено,Yenileme başarılı,복원 성공,復元成功,恢复成功,恢復成功
purchase_restore_success_text,You can again enjoy all 12 characters,Voit taas leikkiä kaikilla 12 hahmolla,Du har igen tillgång till alla 12 figurerna,Du har adgang til alle 12 karakterer igen,Du kannst dich jetzt wieder über alle 12 Figuren freuen,Μπορείτε να απολαύσετε πάλι και τα 12 ήρωες,Puedes disfrutar nuevamente de todos los 12 personajes,Vous pouvez a nouveau profiter des 12 personnages,Puoi di nuovo goderti tutti e 12 gli personaggi,Du har tilgang til alle 12 karakterene igjen,Je hebt weer toegang tot alle 12 personages,Você pode desfrutar de todos os 12 personagens novamente,Вас снова могут радовать все 12 персонажей,12 karakterin tümünün tadını tekrar çıkarabilirsin,다시 12가지 캐릭터 모두를 이용하실 수 있습니다,再び、12のすべてのキャラクターを楽しむことができます,你可以再一次玩全部12个人物,你再度擁有全部 12 個角色了
shared_age_animals,For ages 0-1,0-1 -vuotiaille,För åldrarna 0-1,For alderen 0-1,Für Alter 0-1,Για παιδιά 0-1 ετών,Para edades de 0-1,Pour les 0 à 1 ans,Per età da 0 a 1,For alderen 0-1,Voor 0-1 jaar,Para idades de 0 a 1,Для возраста 0-1 лет,0-1 yaş arası için,만 0-1세용,0〜1歳向け,适合0-1岁,適合 0-1 歲
shared_age_home,For ages 0-3,0-3 -vuotiaille,För åldrarna 0-3,For alderen 0-3,Für Alter 0-3,Για παιδιά 0-3 ετών,Para edades de 0-3,Pour les 0 à 3 ans,Per età da 0 a 3,For alderen 0-3,Voor 0-3 jaar,Para idades de 0 a 3,Для возраста 0-3 лет,0-3 yaş arası için,만 0-3세용,0〜3歳向け,适合0-3岁,適合 0-3 歲
shared_age_shapes,For ages 1-5,1-5 -vuotiaille,För åldrarna 1-5,For alderen 1-5,Für Alter 1-5,Για παιδιά 1-5 ετών,Para edades de 1-5,Pour les 1 à 5 ans,Per età da 1 a 5,For alderen 1-5,Voor 1-5 jaar,Para idades de 1 a 5,Для возраста 1-5 лет,1-5 yaş arası için,만 1-5세용,1〜5歳向け,适合1-5岁,適合 1-5 歲
shared_edu,Educational edition,Opetusversio,Utbildningsversionen,Læringsudgave,Bildungsversion,Εκπαιδευτική έκδοση,Edición educativa,Édition éducative,Versione didattica,Utdanningsversjon,Educatieve-editie,Edição educacional,Учебная версия,Eğitim sürümü,교육용 에디션,教育機関版,教育版,教育版
shared_mode,Select your preferred mode for building characters:,Valitse haluamasi moodi hahmojen rakentamiseen:,Välj svårighetsgrad för att bygga figurer:,Vælg din foretrukne måde at lave dine karaktere på:,Wähle deinen bevorzugten Modus zum Erstellen von Figuren aus:,Επίλεξε τον τρόπο που προτιμάς για τη δημιουργία ηρώων:,Selecciona tu modo preferido para construir a los personajes:,Choisissez votre mode préféré pour construire les personnages:,Seleziona la tua modalità preferita per costruire personaggi:,Velg den fortrukne måten din for å bygge karakterer:,Kies de gewenste mode voor het maken van personages:,Selecione o seu modo preferido para criar personagens:,Выберите желаемый режим создания персонажей:,Karakterleri oluşturmak için tercih ettiğin modu seç:,캐릭터 구성을 위해 선호하시는 모드를 선택하세요:,キャラクターを作るための、好きなモードを選択してください:,选定模式，开始构建角色:,選擇喜愛的模式來創造角色:
shared_mode_off,Toddler mode (drag),Taaperomoodi (veto),För småbarn (dra),Tumlinge-tilstand (Træk),Kleinkind-Modus (Ziehen),Λειτουργία για νήπια (σύροντας),Modo niño (arrastrar),Mode bambin (glisser),Modalità bambino (trascina),Småbarnsmodus (dra),Kleuter mode (sleep),Modo criança (arrastar),Режим ребенка (перетащить),Çocuk modu (sürükle),토들러 모드(드래그),幼児モード（ドラッグ）,幼儿模式（拖动）,兒童模式 (拖放)
